gender,degs_code,degc_code,levl_code,college,code,conc_code_1,grad_date,term_code_grad,major,intern_this,job01,job_ft_pt,job_hired,job_interest,job_relatemajor,plan_service,plan_same,plan_military,cc_use,cc_first,cc_use_service,cc_intern,cc_many,find,GradDate,job,job_company,job_title,job_industry,job_salary,grad,grad_degree,degree_other,study_field,schoolname,group,noschool,nojob,group01,group02,group10,noplangrad,gpa,hs_gpa,state,natn,new_total,new_math,new_verbal
M,UA,BS,UM,SY,BUS,BFIN,9/28/18,201806,Business & Management,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,No,,No,No,, ,No, ,Other,Sep-18,Yes,LeadsRx,CFO,Accounting,"$80,000 and over",No,, , , ,2,1, , , , ,1,2.604651213,83.01,IL, ,910,490,420
M,UA,BA,UM,YC,PSY, ,9/28/18,201806,Psychology, , , , , , , ,, , ,, , , , , ,Yes,Staples,tech sales associate/print and marketing,Sales,Declined to Answer,No, , , , ,2,1, , , , ,1,2.272000074,89,NY, ,1400,630,770
M,UA,BA,UM,YC,PHI, ,1/31/19,201809,Philosophy,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Moderately related,Moderately related,No,,No,No,, ,Yes,A bunch,Alumni Contact (referred by family or community member),Jan-19,Yes,Yeshiva University,Executive Communications Manager in the Office of the President,Higher Education,"$50,000 - $59,999",Yes,Semicha, ,Semicha and Dual Master's Degree,"Yeshiva University - RIETS, Revel, Azrieli",1, , , , , , ,3.654320955,92.8,NY, ,1405,650,755
M,UA,BS,UM,SY,BUS,BMAN,9/28/18,201806,Business & Management,,No,,,,,No,,No,Yes,My first year on campus,Individual Appointment,Yes, ,, , , , , , , , , , , ,4,1,1,1, ,1,1,2.887788773,85.17,NY, ,1300,620,680
M,UA,BA,UM,YC,BIO, ,9/28/18,201806,Biology,,No,Part-time (<30 hours/week),,,,No,,No,No,, ,No, ,,Sep-18,No, , , , ,Yes,MD, ,Medical school,Technion school of medicine,3, ,1, , , , ,2.907590866,80.06,NY, ,1310,570,740
M,UA,BA,UM,YC,HIS, ,5/31/19,201901,History, , , , , , , ,, , , , , , , ,May-19,No, , , , ,No,, , , ,4,1,1,1, ,1,1,3.845238209,86.725,NY, , , , 
M,UA,BA,UM,YC,COM, ,9/28/18,201806,Computer Science,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Moderately related,No,,No,Yes,My second year on campus,"Individual Appointment,Walk-in Hours,YU CareerLink,Career Fair,Employer Site Visits",Yes,2,Other,Sep-18,Yes,NBCUniversal,Senior Front-End Engineer,Software Engineering,"$80,000 and over",No,, , , ,2,1, , , , ,1,2.797235012,91.76,NJ, ,1420,700,720
M,UA,BA,UM,YC,BIO, ,1/31/19,201809,Biology, , , , , , , ,, , , , , , , ,Jan-19,Yes,"Columbia Doctors, Columbia University Medical Center",Medical Practice Associate,Healthcare,Declined to Answer,Yes,MD, ,Medical Doctor,Technion - Israel Institute of Technology,1, , , , , , ,3.707547188,93.36,NY, ,1235,600,635
M,UA,BA,UM,YC,ECO,ECOG,5/31/19,201901,Economics,,No,,,,,No,,No,No,, ,No, ,,May-19,No, , , , ,No,, , , ,4,1,1,1, ,1,1,3.873188496,95.1,NY, ,1420,710,710
M,UA,BA,UM,YC,ENG, ,1/31/19,201809,English,, ,,,,, ,, , , , , , ,, ,Yes,LINK LLC,freelance copywriter,Advertising,Declined to Answer,Yes,planning, , , ,1, , , , , , ,3.85620904,87.98,NY, ,1390,620,770
M,UA,BA,UM,YC,PSY, ,1/31/19,201809,Psychology,, ,,,,, ,, , , , , , , , , , , , , ,planning,MBA, ,finance or industrial psychology, ,4,1,1,1, ,1, ,3.767361164,84.9,NY, ,1310,570,740
M,UA,BA,UM,YC,ECO,ECOG,9/28/18,201806,Economics,, ,,,,, ,, , , , , , , , ,Yes,Preqin,research associate,Finance,Declined to Answer,No, , , , ,2,1, , , , ,1,3.849999905,92.67,NY, ,1500,760,740
