,gender,degs_code,degc_code,levl_code,college,code,conc_code_1,grad_date,term_code_grad,major,intern_this,job01,job_ft_pt,job_hired,job_interest,job_relatemajor,plan_service,plan_same,plan_military,cc_use,cc_first,cc_use_service,cc_intern,cc_many,find,GradDate,job,job_company,job_title,job_industry,job_salary,grad,grad_degree,degree_other,study_field,schoolname,group,noschool,nojob,group01,group02,group10,noplangrad,gpa,hs_gpa,state,natn,new_total,new_math,new_verbal
0,M,UA,BS,UM,SY,BUS,BFIN,9/28/18,201806,Business & Management,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,No,,No,No,, ,No, ,Other,Sep-18,Yes,LeadsRx,CFO,Accounting,"$80,000 and over",No,, , , ,2,1, , , , ,1,2.604651213,83.01,IL, ,910,490,420
1,M,UA,BA,UM,YC,PSY, ,9/28/18,201806,Psychology, , , , , , , ,, , ,, , , , , ,Yes,Staples,tech sales associate/print and marketing,Sales,Declined to Answer,No, , , , ,2,1, , , , ,1,2.272000074,89,NY, ,1400,630,770
2,M,UA,BA,UM,YC,PHI, ,1/31/19,201809,Philosophy,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Moderately related,Moderately related,No,,No,No,, ,Yes,A bunch,Alumni Contact (referred by family or community member),Jan-19,Yes,Yeshiva University,Executive Communications Manager in the Office of the President,Higher Education,"$50,000 - $59,999",Yes,Semicha, ,Semicha and Dual Master's Degree,"Yeshiva University - RIETS, Revel, Azrieli",1, , , , , , ,3.654320955,92.8,NY, ,1405,650,755
3,M,UA,BS,UM,SY,BUS,BMAN,9/28/18,201806,Business & Management,,No,,,,,No,,No,Yes,My first year on campus,Individual Appointment,Yes, ,, , , , , , , , , , , ,4,1,1,1, ,1,1,2.887788773,85.17,NY, ,1300,620,680
4,M,UA,BA,UM,YC,BIO, ,9/28/18,201806,Biology,,No,Part-time (<30 hours/week),,,,No,,No,No,, ,No, ,,Sep-18,No, , , , ,Yes,MD, ,Medical school,Technion school of medicine,3, ,1, , , , ,2.907590866,80.06,NY, ,1310,570,740
5,M,UA,BA,UM,YC,HIS, ,5/31/19,201901,History, , , , , , , ,, , , , , , , ,May-19,No, , , , ,No,, , , ,4,1,1,1, ,1,1,3.8452382089999997,86.725,NY, , , , 
6,M,UA,BA,UM,YC,COM, ,9/28/18,201806,Computer Science,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Moderately related,No,,No,Yes,My second year on campus,"Individual Appointment,Walk-in Hours,YU CareerLink,Career Fair,Employer Site Visits",Yes,2,Other,Sep-18,Yes,NBCUniversal,Senior Front-End Engineer,Software Engineering,"$80,000 and over",No,, , , ,2,1, , , , ,1,2.797235012,91.76,NJ, ,1420,700,720
7,M,UA,BA,UM,YC,BIO, ,1/31/19,201809,Biology, , , , , , , ,, , , , , , , ,Jan-19,Yes,"Columbia Doctors, Columbia University Medical Center",Medical Practice Associate,Healthcare,Declined to Answer,Yes,MD, ,Medical Doctor,Technion - Israel Institute of Technology,1, , , , , , ,3.707547188,93.36,NY, ,1235,600,635
8,M,UA,BA,UM,YC,ECO,ECOG,5/31/19,201901,Economics,,No,,,,,No,,No,No,, ,No, ,,May-19,No, , , , ,No,, , , ,4,1,1,1, ,1,1,3.873188496,95.1,NY, ,1420,710,710
9,M,UA,BA,UM,YC,ENG, ,1/31/19,201809,English,, ,,,,, ,, , , , , , ,, ,Yes,LINK LLC,freelance copywriter,Advertising,Declined to Answer,Yes,planning, , , ,1, , , , , , ,3.85620904,87.98,NY, ,1390,620,770
10,M,UA,BA,UM,YC,PSY, ,1/31/19,201809,Psychology,, ,,,,, ,, , , , , , , , , , , , , ,planning,MBA, ,finance or industrial psychology, ,4,1,1,1, ,1, ,3.7673611639999995,84.9,NY, ,1310,570,740
11,M,UA,BA,UM,YC,ECO,ECOG,9/28/18,201806,Economics,, ,,,,, ,, , , , , , , , ,Yes,Preqin,research associate,Finance,Declined to Answer,No, , , , ,2,1, , , , ,1,3.849999905,92.67,NY, ,1500,760,740
12,M,UA,BA,UM,YC,BIO, ,1/31/19,201809,Biology,,No,,,,,No,,No,Yes,My second year on campus,Individual Appointment,Yes,1,,Jan-19,No, , , , ,Yes,Semicha, ,Talmud,RIETS,3, ,1, , , , ,3.8555555339999996,96.46,NY, ,1390,740,650
13,M,UA,BA,UM,YC,BIO, ,5/31/19,201901,Biology,,No,,,,,No,,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,Career Center Website",Yes,1,, , , , , , ,Yes,MD, ,Medicine,Einstein,3, ,1, , , , ,3.9102563860000004,95.89,NY, ,1500,780,720
14,M,UA,BA,UM,YC,PSY, ,9/28/18,201806,Psychology,, ,,,,, ,, , , , , , , ,Sep-18,No, , , , ,Yes,Master's, ,Social Work,RIETS,3, ,1, , , , ,3.8055555819999998,88.9,NY, ,1400,670,730
15,M,UA,BA,UM,YC,BIO, ,9/28/18,201806,Biology,, ,,,,, ,, , , , , , , , , , , , , ,planning, , ,medical school, ,4,1,1,1, ,1, ,3.533333302,87.6,NY, ,1130,590,540
16,M,UA,BA,UM,YC,ECO,ECOG,1/31/19,201809,Economics,,No,,,,,No,,No,Yes,My third year on campus,"Individual Appointment,Walk-in Hours,YU CareerLink",, ,,May-19,No, , , , ,Yes,Master's, ,Real Estate Finance,NYU School of Professional Studies,3, ,1, , , , ,3.655914068,93,NY, ,1390,690,700
17,M,UA,BA,UM,YC,ECO, ,9/28/18,201806,Economics, , , , , , , ,, , , , , , , , ,Yes,Applied Behavioral Mental Health Counseling,Behavioral Technician,Social Service,Declined to Answer,Yes,MS, ,"Marketing, Digital Media",Yeshiva University,1, , , , , , ,2.921637535,87.35,NY, ,1130,440,690
18,F,UA,BA,UW,ST,SHA,ARTH,9/28/18,201806,Shaped Major, , , , , , , ,, , , , , , , ,May-19, , , , , ,Yes,GPATS, , ,Yeshiva University,3, ,1, , , , ,3.9904761310000003,96,NY, ,1540,750,790
19,F,UA,BA,UW,ST,BIO,BIOG,9/28/18,201806,Biology,No,Yes,Full-time (30+ hours/week),Employed in temp/contract assignment,Slightly related,Not related,No,,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours",Yes,1,Career Fair,Sep-18,Yes,Salantar Akiba Riverdale Academy,Assistant Teacher,Education,"$30,000 - $39,999",Yes,MD, ,Medicine,Albert Einstein,1, , , , , , ,3.916666746,96.05,NY, ,1490,760,730
20,F,UA,BA,UW,ST,BIO,BIOG,9/28/18,201806,Biology,No, ,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,Yes,No,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,Career Center Website,JFEW",Yes,2,Job or Social Media website,Sep-18,Yes,Columbia university medical center,Clinical research coordinator,Medical Research,"$50,000 - $59,999",No,, , , ,2,1, , , , ,1,3.6868686680000002,94,NY, ,1490,740,750
21,M,UA,BA,UM,YC,BIO, ,5/31/19,201901,Biology,,No,,,,,No,,No,Yes,My third year on campus,Individual Appointment,Yes,1,,May-19,No, , , , ,Yes,MD, ,Medicine,Undetermined,3, ,1, , , , ,3.752475262,92.22,NY, ,1510,800,710
